School Name,Achievement Score,Growth Score,Reading_3-8,Math_3-8,Science_5&8,White,Black,Hispanic,Asian,Mixed/other
chantilly montesorri,85.2,84.4,87.2,81.2,92.3,72.2,15.9,8.7,1.5,1.5
charlotte lab,67.2,61.3,73.4,64.1,52.9,66.8,13.4,7.2,1.7,10.6
brookstone schools,,,,,,,,,,
metro school,,,,,,,,,,
first ward creative arts academy,58.8,55.3,52.4,61.5,69.8,5.2,67.7,22.2,0.3,4.5
billingsville elementary,40.5,82.6,32.2,44.3,55.8,1.2,83,11.2,2.4,2.1
cotswold elementary,69.7,76.3,67.1,70.7,75.4,55.9,28.5,11.3,3.1,1.2
rama road elementary,50.9,90.7,40.9,54,65.7,19.7,45.4,28,4.5,2.3
Selewyn Elementary,87.4,82.1,85.2,89.3,88.9,79.3,9.2,7,2,2.6
Sharon Elementary,80.3,72.2,79.3,79.8,84.4,69.6,13.1,5.1,9.2,2.9
Park Road Montesorri,86.8,83.4,83.6,89.5,88.5,68,12.5,6.6,9.2,3.7
Oakhurst STEAM Academy,55.2,64.8,44.6,57.6,70.3,15.5,44.2,31.2,6.5,2.6
Elizabeth Traditional Elementary,69.1,72.1,61.9,72.5,79.8,18.8,63.1,12.5,2.8,2.8
Eastover Elementary,65.2,71.3,65.1,60,83.9,67.8,23.3,3,1.6,4.3
Myers Park Traditional,67.3,81.2,62.6,71.8,68.2,33.4,49.1,6.8,8.5,2.1
Dilworth Elementary,83.7,86.3,79.2,86.6,89.2,70.2,21.9,3.1,2.3,2.5
